Question no,Question,Answer,Section
407,Wat is OSAS en wat zijn de mogelijke complicaties?,OSAS staat voor Obstructief Slaap Apneu Syndroom. Mogelijke complicaties zijn huidirritaties of drukplekken (decubitus) door het gebruik van het masker.,"OSAS, Obstructief Slaap Apneu Syndroom --- Huidproblemen --- Door het gebruik van het masker kunnen er huidirritaties of drukplekken (decubitus) ontstaan. Decubitus is een beschadiging van de huid als gevolg van langdurig overmatige druk op de huid. Hierdoor ontstaat een verminderde bloedvoorziening in een bepaald huidgebied, waardoor een rode plek of wondje ontstaat. U kunt de drukplek verminderen door aanpassingen te doen aan het masker of gebruik te maken van Sudocrème of Calendulazalf."
410,Is elke peeling geschikt voor elk huidtype?,"Nee, omdat elke peeling zijn specifieke eigenschappen heeft is voor elk huidtype een specifieke peeling geschikt.","Peelings (ZGT Helon) --- Werking van peelings --- Ongeacht de ingrediënten, zorgt een peeling altijd voor exfoliatie. Exfoliatie is het verweken van de bovenste laag huidcellen waardoor deze sneller gaat afschilferen. De huid wordt gestimuleerd om nieuwe, gezonde cellen aan te maken met tot gevolg een gladdere, egalere en beter gehydrateerde huid. Doordat elke peeling zijn specifieke eigenschappen heeft, is voor elk huidtype een geschikte peeling in te zetten. Zo zijn er peelings die pigmentvlekken oplichten, de talgproductie remmen, ontstekingen verminderen of de aanmaak van bindweefselvezels stimuleren."
411,Wat kan er optreden na een pigmentlaser behandeling?,"Na een pigmentlaser behandeling kan het volgende optreden: de huid wordt eerst wit en daarna rood en gezwollen. Dit verdwijnt doorgaans dezelfde dag nog, maar kan soms tot enkele dagen aanhouden.","Pigmentlaser behandeling (ZGT Helon) --- Behandeling --- - De huid wordt na de behandeling meestal eerst wit. Dit is een teken dat het pigment wordt verdampt. Vervolgens wordt de huid rood en treedt er zwelling op. Dit verdwijnt doorgaans dezelfde dag nog, maar kan soms tot enkele dagen aanhouden. 
- In enkele gevallen kunnen de laserstralen zo sterk zijn dat er onmiddellijk kleine puntbloedinkjes optreden. Deze bloedinkjes zijn onschuldig en helen snel. 
- Na de behandeling kan het branderige gevoel nog even aanhouden. Het gevoel is te vergelijken met zonverbranding en kan bij een groter gebied enkele uren aanhouden."
415,Wat is het neustussenschot en waar bevindt het zich?,"Het neustussenschot (neusseptum of kortweg septum) zit in het midden van de neus. Het verdeelt de doorgang in twee helften en grenst aan de neusrug, het gehemelte, de neuspunt en de neus- en keelholte.","Septumcorrectie (operatie aan neustussenschot) --- Wat is het neustussenschot --- Het neustussenschot (neusseptum of kortweg septum) zit in het midden van de neus. Het verdeelt de doorgang in twee helften. De bovenkant grenst aan de neusrug, de onderkant aan het gehemelte, de voorkant aan de neuspunt en de achterkant aan de neus- en keelholte. De lengte van het neustussenschot is van voor naar achter zeven tot tien cm. Het bestaat voor een deel uit kraakbeen en voor een deel uit bot. Het kraakbeen zit aan de voorkant, daar is de neus beweeglijk. Het biedt steun aan de neuspunt en de neusrug. Het neustussenschot is helemaal bedekt met slijmvlies dat vochtig is door de productie van neusslijm. Dit slijm wordt door trilhaartjes op het neusslijmvlies naar achteren (neus- keelholte) gebracht en daar ingeslikt."
416,Waarom is het belangrijk om nuchter te zijn voor een operatie?,Het is belangrijk om nuchter te zijn voor een operatie om gezondheidsschade te voorkomen en ervoor te zorgen dat de operatie veilig kan worden uitgevoerd.,"Anesthesie volwassenen --- Eten en drinken voor de operatie. --- Voor uw veiligheid dient u nuchter te zijn voor de operatie. Dit betekent dat uw maag leeg moet zijn. Anders kan de operatie niet doorgaan, en kan dit forse gezondheidsschade geven. Extra informatie over nuchter zijn voor een operatie kunt u vinden op bladzijde 3 van dit document. U mag tot 6 uur voor de opnametijd normaal ontbijten en normaal drinken. U mag tot 2 uur voor de opnametijd heldere vloeistoffen drinken zoals: water, thee, koffie (zonder melk), heldere appelsap, limonade van siroop. (geen melkproducten) Het is verstandig voor de ingreep niet te roken."
417,Hoe maak ik de eerste Klean-Prep drank klaar?,"U doet de inhoud van het zakje direct in de 'shaker'. Deze heeft u bij de apotheek ontvangen. Voeg één liter water toe (zie zijkant etiket shaker), doe de deksel op de shaker en schud goed tot de Klean-Prep volledig is opgelost. Deze drank drinkt u in één uur tijd op. Deze procedure herhaalt u één keer.","Kleanprep en propofol sedatie --- Coloscopie met Klean-prep voorbereiding bij --- matige en diepe sedatie (Propofol) In deze folder vertellen wij u meer over de darmvoorbereiding die u moet uitvoeren voorafgaand aan het onderzoek. Twee dagen voor het onderzoek: Vanaf twee dagen voor onderzoek Vanaf 2 dagen voorafgaand aan het onderzoek geen zaden, nootjes, pinda’s en pitjes nuttigen, zoals volkorenbrood, sesam en maanzaad, kiwi, aardbei, tomaat etc. Hiernaast mag u normaal eten. Voor het slapen gaan neemt u 2 tabletten bisacodyl in.  Onderzoek gepland in de ochtend Dag voor het onderzoek Ontbijt Wit brood met kaas of ham. Geen brood met pitjes of vezels. Alleen heldere dranken zoals thee, water, ranja en heldere appelsap, heldere frisdranken zonder koolzuur, bouillon. Geen melkproducten en geen koffie. 09.00-11.00 U maakt uw eerste Klean-Prep drank klaar. Doe de inhoud van het zakje direct in de ‘shaker’. Deze heeft u bij de apotheek ontvangen. Eén liter water toevoegen (zie zijkant etiket shaker). Deksel op de shaker en goed schudden tot de Klean- Prep volledig is opgelost. Deze drank drinkt u in één uur tijd op. Deze procedure herhaalt u één keer. Door dit gebruik van Klean-Prep krijgt u flinke diarree. Dit is heel hinderlijk voor u maar wel noodzakelijk voor het onderzoek. Lunch Zie ontbijt 17.00 Neem een lichte of helder vloeibare maaltijd, zoals naturel beschuit en/of bouillon. 20.00-22.00 U maakt de Klean-Prep drank klaar zoals hiervoor is omschreven. Dit drankje drinkt u in één uur tijd op. Deze procedure herhaalt u één keer. Na 22.00 uur Rustperiode. In deze periode mag u nog wel bovenstaande heldere vloeistoffen gebruiken. U mag vanaf 24.00 uur niet meer roken. Voor het slapen gaan neemt u 2 tabletten bisacodyl."
419,Wat zijn de meest voorkomende bijwerkingen van Cyclofosfamide tabletten en infusen?,"De meest voorkomende bijwerkingen van Cyclofosfamide zijn maag- en darmklachten, ontstekingen en zweren van slijmvliezen van mond en keel, huiduitslag en haaruitval.","Cyclofosfamide (Endoxan®) tabletten en per infuus --- Mogelijke bijwerkingen --- Bijwerkingen kunnen optreden. Meest voorkomend 
- Maag- en darmklachten zoals misselijkheid, braken, diarree of verstopping. 
- Ontstekingen en zweren van slijmvliezen van mond en keel. 
- Huiduitslag. 
- Haaruitval, maar in de voor uw ziekte toegepaste dosering is dit meestal gering. Soms/ zelden voorkomend 
- Stoornissen in de aanmaak van bloedcellen: hierdoor kunnen onder andere bleekheid, vermoeidheid en een verhoogde bloedingsneiging ontstaan. In het laatste geval blijven wondjes opvallend lang bloeden, er kunnen spontane bloedingen en blauwe plekken ontstaan. 
- Stoornis in de werking van de lever. U kunt dit merken aan geelzucht en jeuk. 
- Kortademigheid, veel hoesten, snelle hartslag en duizeligheid. 
- Infecties. 
- Blaasontsteking, soms wel en soms niet veroorzaakt door bacteriën. 
- Zeer geringe verhoogde kans op bepaalde vormen van kanker, met name urinewegkanker en bloedkanker. Meestal verdwijnen bijwerkingen na het verlagen van de dosis of stoppen van cyclofosfamide. Na herstel van de bijwerking mag u vaak weer beginnen, meestal in een lagere dosis."
421,Wat zijn de mogelijke gevolgen van huidcontact met verharders?,"Huidcontact met verharders kan ernstige brandwonden veroorzaken en een ernstige allergische contact dermatitis, gekenmerkt door roodheid, jeuk en zwelling.","Epoxyhars --- Wat zijn de reacties bij een epoxyhars allergie? --- De reactie uit zich in een typische allergische contact dermatitis, bij mensen die allergisch zijn voor epoxyhars of een component van het epoxyharssysteem. Huidcontact met verharders kan ernstige brandwonden veroorzaken. Ze kunnen ook een ernstige allergische contact dermatitis veroorzaken, gekenmerkt door roodheid, jeuk en zwelling. De huid moet met water en zeep gewassen worden bij elk contact. Bovendien zijn de verharders en verdunners vluchtiger dan de hars en kunnen via de dampen (inademing) allergische reacties veroorzaken. Dermatitis op de pols door epoxyhars Dermatitis in het gelaat door masker waarin zich epoxyhars bevond"
422,Wat is de behandeling voor contact dermatitis veroorzaakt door formaldehyde?,De dermatitis wordt behandeld met een crème of zalf die corticosteroïden bevat.,"Formaldehyde --- Behandeling van de contact dermatitis --- Probeer formaldehyde te vermijden, of neem maatregelen om de blootstelling te minimaliseren. Wanneer de dermatitis optreedt wordt deze behandeld met een crème of zalf die corticosteroïden bevat."
423,Wat is een positieve plakproef?,Een positieve plakproef is een plaktest waarbij er een reactie optreedt op de huid na het aanbrengen van een allergeen. Dit kan wijzen op een allergie voor formaldehyde.,Formaldehyde --- Ben ik allergisch voor formaldehyde? --- Met behulp van een plaktest kan een allergie voor formaldehyde worden vastgesteld. Positieve plakproef
425,Wat is de aanbevolen activiteit na het verwijderen van een niertumor door middel van radiofrequency ablatie?,De eerste week na de behandeling moet u het rustig aan doen en niet fietsen of sporten.,"Niertumor, het verwijderen van, door middel van radiofrequency ablatie (RFA) --- Nazorg thuis --- Eenmaal thuis moet u het de eerste week rustig aan doen. Tevens mag u de eerste week na de behandeling niet fietsen/ sporten. In de eerste dagen na de ablatie behandeling komen er afvalstoffen vrij waardoor uw lichaamstemperatuur iets verhoogd kan zijn. Deze afvalstoffen plast u vanzelf uit. Neem contact op met de polikliniek urologie bij: 
- Onwel worden; 
- Heftige pijn; 
- Bloed bij de urine; 
- Koorts boven de 38,5°C."
426,Hoeveel dagen per week moeten volwassenen (19-55 jaar) matig intensieve activiteiten uitvoeren om de Nederlandse Norm Gezond Bewegen te halen?,Volwassenen (19-55 jaar) moeten dagelijks (zomer en winter) minimaal een halfuur matig intensieve lichamelijke activiteit op minimaal 5 dagen per week uitvoeren om de Nederlandse Norm Gezond Bewegen te halen.,"Lymfoedeem, fysiotherapie --- Bewegen --- Probeer de Nederlandse Norm Gezond Bewegen te halen. 
- Volwassenen (19 – 55 jaar): dagelijks (zomer en winter) minimaal een halfuur matig intensieve lichamelijke activiteit op minimaal 5 dagen per week. Matig intensief betekent voor volwassenen bijvoorbeeld stevig wandelen (5 km per uur) of fietsen (15 km per uur). 
- Ouderen (55+): een halfuur matig intensief bewegen op minimaal 5 maar liefst 7 dagen per week. Matig intensief betekent voor ouderen bijvoorbeeld wandelen (3 – 4 km per uur) of fietsen (10 km per uur)."
428,Moet ik mijn sieraden uitdoen op de dag van de operatie?,"Ja, u wordt verzocht om sieraden zoals ringen, piercings en horloges af of uit te doen op de dag van de operatie.","Anesthesie volwassenen --- De dag van de opname --- Op de operatiedag krijgt u operatiekleding aan. U wordt verzocht sieraden zoals ringen, piercings en horloges af/uit te doen en eventuele contactlenzen te verwijderen. Het dragen van make-up en nagellak is niet toegestaan. Kunstnagels (acryl en gel) mogen blijven zitten, tenzij u een operatie aan die hand ondergaat. Uw gehoorapparaat, bril en/of gebitsprothese kunt u blijven dragen."
429,Waar moet u de injectiespuit met MTX op plaatsen tijdens de injectie?,U moet de injectiespuit met MTX op een vlak en schoon werkblad plaatsen.,"Methotrexaat (MTX), instructie zelftoedienen van --- Benodigde materialen --- De volgende materialen heeft u nodig voor een injectie: 
- voorgevulde injectiespuit met MTX (volgens voorschrift bewaren) 
- werkblad: een vlakke en schone ondergrond 
- naaldencontainer met cytostaticasticker erop 
- gaasjes 
- pleisters"
430,Wat is een Flash Glucose Monitoring Systeem (FGM)?,Een FGM is een systeem waarmee u uw glucosewaarden kunt controleren en de impact van uw activiteiten hierop direct kunt volgen.,Flash Glucose Monitoring Systeem --- Flash Glucose Monitoring Systeem --- U heeft goedkeuring gekregen voor het gebruik van een Flash Glucose Monitoring Systeem (afgekort FGM). In deze folder leest u meer over deze FGM. Met een FGM kunt u de glucosewaarde controleren en de impact van uw activiteiten op de glucosewaarden direct volgen. De sensor meet elke 15 minuten de glucosewaarde. Om inzicht te krijgen in de meeste recente waarde scant u de sensor met een bijbehorende reader of met een app op uw smartphone. U ziet dan uw huidige glucosespiegel en of uw glucosewaarde daalt of stijgt. Door het scannen wordt tevens de gemeten glucosewaarden van de afgelopen 8 uur opgeslagen in de reader of app. Zo kunt u ook terugkijken en leren van eerdere beslissingen die u heeft genomen ten aanzien van uw diabetesbehandeling. Tevens kunt u een alarmfunctie inschakelen en instellen op een lage en hoge glucosewaarde. U krijgt dan een seintje als de waarde op en onder/boven deze waarde is.
431,Hoe vaak moet ik de FGM gebruiken om in aanmerking te komen?,Om in aanmerking te komen voor de FGM moet u minimaal 80% van de tijd (4x of meer per dag) de sensor scannen.,"Flash Glucose Monitoring Systeem --- Gebruik --- U draagt de FGM op uw bovenarm of eventueel uw buik. De sensor blijft 14 dagen op dezelfde plek zitten, waarna u hem verwisselt. Om de glucosewaarde te controleren scant u de sensor met een bijbehorende reader of met een app op uw smartphone. Om voldoende gegevens over het verloop van uw glucosewaardes te verzamelen scant u minimaal 4 keer per dag de sensor. Als waarschuwingen over uw glucose en glucosemetingen niet overeenkomen met uw symptomen of uw verwachtingen, gebruikt u een bloedglucosemeter om beslissingen te nemen over uw diabetesbehandeling. Om in aanmerking te komen voor de FGM verwachten wij dat u: 
- 3x per jaar een consult heeft met uw diabetesbehandelaar. 
- Zorgvuldig en volgens instructie omgaat met de sensor en toebehoren. 
- Minimaal 80% van de tijd de FGM gebruikt, oftewel 4x of meer per dag de sensor scant. 
- Voor ieder diabetesconsult leest u uw sensorgegevens digitaal uit. Jaarlijks wordt tijdens het consult met uw diabetesbehandelaar het gebruik van de FGM geëvalueerd. Afhankelijk van het doel en/of de voor u gebleken meerwaarde van FGM wordt de voortzetting van FGM met u besproken."
433,Hoe vaak worden er controles uitgevoerd bij insulinepomptherapie?,"Nadat u goed bent ingesteld op de insulinepomp, zijn de controles elke vier maanden. Deze controles worden uitgevoerd door de diabetesverpleegkundige, technisch geneeskundige of internist.",Insulinepomptherapie --- Het vervolg --- - De eerste weken na de start is er nog een aantal keren contact met de diabetesverpleegkundige/technisch geneeskundige. Als u eenmaal goed bent ingesteld zijn de controles elke vier maanden bij de diabetesverpleegkundige of technisch geneeskundige of internist.
435,Welke organisatie kan patiënten helpen bij het verzekeren van hun insulinepomp?,De Diabetesvereniging Nederland kan patiënten helpen bij het verzekeren van hun insulinepomp.,Insulinepomptherapie --- Verzekering --- Vraag de leverancier waar u de diabeteshulpmiddelen besteld of zij garanderen dat u een nieuwe insulinepomp krijgt bij diefstal/ verlies of als de pomp kapot is. Als dit niet gegarandeerd wordt dan is het verstandig om na te gaan of uw insulinepomp is verzekerd via uw lopende verzekering of dat u een aparte verzekering afsluit voor uw insulinepomp. Dit kan bijvoorbeeld via DVN (diabetes Vereniging Nederland). Ontregeling bloedsuikers. Bij bloedsuikers hoger dan 15 mmol/L en lager dan 4 mmol/L moet er actie worden ondernomen.
436,"Wat zijn de aanbevolen oefeningen voor week 1 en 2 na een borstverkleining, borstlift of borstversteviging?","De aanbevolen oefeningen voor week 1 en 2 na een borstverkleining, borstlift of borstversteviging zijn: Figuur 2 - Beweeg uw arm gestrekt voorwaarts tot schouderhoogte, eventueel ook zijwaarts tot schouderhoogte. Figuur 1 - Laat uw armen langs uw lichaam hangen en trek uw schouders een aantal keer op en ontspan ze weer. Ronddraaien is ook mogelijk. Figuur 3 - Leg uw handen zo laag mogelijk op uw rug en schuif ze naar boven. Figuur 4 - Leg uw handen in de nek of achter uw hoofd en breng uw ellebogen zo ver mogelijk naar achteren. Figuur 5 - Houd uw handen achter uw rug in elkaar en breng uw armen gestrekt omhoog terwijl u rechtop blijft zitten.","Borstverkleining, borstlift, borstversteviging --- Oefeningen in week 1 en 2 --- Figuur 2. Beweeg uw arm gestrekt voorwaarts. Ga niet verder dan schouderhoogte (dus tot maximaal 90 graden). Deze beweging mag ook zijwaarts tot schouderhoogte. Figuur 1. Laat uw armen langs uw lichaam hangen. Vervolgens een aantal keren uw schouders optrekken en weer ontspannen. Ronddraaien mag ook. Figuur 3. Leg uw handen zo laag mogelijk op uw rug en schuif ze langs uw rug naar boven. Figuur 4. Leg uw handen in de nek of in latere fase op uw achterhoofd, eventueel uw vingers ineengestrengeld. Houd uw ellebogen eerst ontspannen naar voren en breng ze daarna zo ver mogelijk naar achteren. Figuur 5. Uw handen achter uw rug in elkaar houden. Vervolgens uw armen gestrekt omhoog brengen. Blijf rechtop zitten. O"
437,Wat voor voedingsstoffen heeft het lichaam nodig voor en na een operatie?,Het lichaam heeft in dat geval meer energie (= calorieën) en eiwit (=bouwstof voor onder andere de spieren) nodig dan normaal.,"Beenamputatie --- Diëtetiek --- Wie ziek is en/of een operatie moet ondergaan, moet extra goed letten op de voeding. Dit geldt voor zowel voor als na een operatie. Het lichaam heeft in dat geval namelijk meer energie (= calorieën) en eiwit (=bouwstof voor onder andere de spieren) nodig dan normaal. Eiwit komt veel voor in: vlees, vis, kaas, ei, (soja)melkproducten, noten, pinda’s en peulvruchten. Geen trek, misselijkheid, benauwdheid, nuchter blijven voor allerlei onderzoeken en emoties; er zijn allerlei redenen waardoor u minder eet. Als u hierbij afvalt, verliest u geen vetreserves maar spiermassa. Verlies van spiermassa is niet wenselijk en heeft nadelige gevolgen voor uw conditie, zelfredzaamheid en herstel na operatie. Tijdens de opname is het mogelijk dat er een diëtiste bij u langs komt."
438,Wat zijn de risico's van obesitas?,"Obesitas is een chronische ziekte met ernstige risico's voor uw gezondheid, zoals een grote kans op suikerziekte, hart- en vaatziekten, verhoogde bloeddruk, slaapapneu, verminderde vruchtbaarheid en/of gewrichtsklachten.","Behandelmogelijkheden voor een gezonder gewicht --- Risico’s obesitas --- Obesitas is een chronische ziekte met ernstige risico’s voor uw gezondheid. Zo hebt u een grote kans op suikerziekte, hart- en vaatziekten, verhoogde bloeddruk, slaapapneu, verminderde vruchtbaarheid en/of gewrichtsklachten. Dit is voor uw huisarts en uzelf een belangrijke reden om u door te verwijzen naar het ZGT obesitascentrum."
440,Hoeveel gram Griekse stijl yoghurt Optimel wordt aanbevolen voor patiënten met COPD?,"Voor patiënten met COPD wordt 150 ml Griekse stijl yoghurt Optimel aanbevolen, dit komt neer op 11 gram.","COPD, voedingsadviezen bij --- Zuivelproducten --- Magere yoghurt 150 ml 6 Griekse yoghurt 0% 150 ml 12-15 Griekse stijl yoghurt Optimel 150 ml 11 Kwark mager 150 ml 15 Vruchtenkwark mager 150 ml 9 Vla 150 ml 5 Pap 150 ml 6 Melk /sojaproduct 250 ml 9 Karnemelk / drinkyoghurt 250 ml 8"
441,Hoe kan ik zorgen dat mijn voeding glad is en geen klonten bevat?,"U kunt ervoor zorgen dat uw voeding glad is door gerechten goed te mixen en eventueel te zeven. Een keukenmachine, staafmixer of blender kan hierbij handig zijn.","Dik vloeibare voeding bij slikklachten --- Algemeen --- - Zorg ervoor dat de voeding glad is. Er mogen geen klonten, pitjes, stukjes en vellen in zitten. Dit kunt u doen door gerechten goed te mixen en eventueel daarna te zeven (een keukenmachine, staafmixer of blender kan hierbij een handig hulpmiddel zijn). 
- Zorg dat er voldoende variatie in uw voeding is. Wissel zoete, zure, hartige, koude en warme gerechten regelmatig af. 
- Probeer de voeding over de gehele dag te verdelen. In plaats van 3 grote maaltijden kunt u beter vaker per dag iets eten/drinken. 
- Zorg bij verstopping van de ontlasting voor genoeg vocht en vezels uit fijn gemalen fruit, peulvruchten en grove bindmiddelen."
444,Welke producten raden jullie af voor een glutenvrij dieet?,"Het is verstandig producten die met mout zijn bereid te vermijden. Producten die moutstroop, moutextract of moutaroma bevatten, raden wij ook af.","Glutenvrij dieet --- Mout, gierst en gort --- Mout wordt gebruikt voor de bereiding van bier, brood, cornflakes en koekjes. De mout die van glutenbevattende granen wordt gemaakt kan sporen gluten bevatten. Het is verstandig producten die met mout zijn bereid te vermijden. Producten die moutstroop, moutextract of moutaroma bevatten, raden wij ook af. Gierst is in principe glutenvrij. Sommige patiënten reageren er echter niet goed op. De oorzaak is onbekend. Gort is een product afgeleid van gerst en bevat dus gluten."
446,Hoeveel koolhydraten zitten er in 100 gram aardbeien?,In 100 gram aardbeien zitten 5 gram koolhydraten.,"Koolhydraatbeperkt dieet bij diabetes mellitus --- Fruit --- Hoeveelheid koolhydraten Aardbeien (schaaltje 100 gram) 5 gram Bramen (schaaltje 100 gram) 6,5 gram Frambozen (schaaltje 100 gram) 7 gram 1 Mandarijn 5 gram 1 Nectarine 6 gram 1 Pruim 4 gram Rode bessen (schaaltje 100 gram) 5 gram 1 Schijf netmeloen (100 gram) 6 gram 1 Passievrucht 1 gram Voor overig fruit: zie Voedingsapp (of andere voedingswaardetabel) voor toegestane portiegrootte."
447,Welke producten zijn geschikt als alternatief voor aardappelen?,"Er kunnen onder andere bloemkoolpuree, knolselderijpuree, koolraappuree, wortelpuree of gekookte knolselderij, koolraap of koolraap frites gebruikt worden als alternatief voor aardappelen.","Koolhydraatbeperkt dieet bij diabetes mellitus --- Warme maaltijd --- De portie aardappelen, pasta, rijst wordt gehalveerd of weggelaten uit de voeding omdat deze producten veel koolhydraten bevatten. Zie uw persoonlijke dagmenu. Om dit te compenseren kan het volgende extra worden toegevoegd in overleg met uw diëtist: 
- Grotere portie vlees (alle soorten vlees, met uitzondering van gepaneerd vlees). 
- Grotere portie vis (alle soorten vis, met uitzondering van gepaneerde vis). 
- Grotere portie groente (alle soorten groenten), eventueel extra rauwkost. Bij gebruik van pasta en rijst gaat de voorkeur in ieder geval uit naar volkorenpasta en zilvervliesrijst. Ook kunnen koolhydraatarme pasta, rijst, noodles of alternatieven voor aardappelen gebruikt worden bij de warme maaltijd. Zie variatiemogelijkheden. Variatiemogelijkheden pasta, rijst, noodles, aardappelen Pasta/Rijst/Noodles Hoeveelheid koolhydraten Slim* Pasta, Rijst of Noodles 0,2 gram koolhydraten per 100 gram gaar Zero** Pasta, Rijst, Noodles 0 gram koolhydraten per 100 gram gaar Bloemkool rijst 1,9 gram koolhydraten per 100 gram gaar Broccoli rijst 0,8 gram koolhydraten per 100 gram gaar Atkins Cuisine Pasta Fusilli of Penne 5,8 gram koolhydraten per 25 gram ongekookte pasta, is 5,8 gram koolhydraten per 60 gram gekookte pasta. * Slim producten zijn onder andere te koop bij: Jumbo, Holland & Barrett, Body & Fit, DA- drogist. ** Zero producten zijn exclusief te koop bij: Action. Alternatieven voor aardappelen zijn: 
- Bloemkoolpuree, knolselderijpuree, koolraappuree of wortelpuree 
- Gekookte knolselderij of gekookte koolraap 
- Koolraap frites 
- Carisma® aardappelen (te koop bij Albert Heijn en Sligro) 
- (pizzabodems op groentebasis bevatten veel koolhydraten, deze zijn niet geschikt)"
450,Wat is een auto-immuunziekte?,Een auto-immuunziekte is een ziekte van het immuunsysteem waarbij het afweersysteem het eigen gezonde weefsel aanvalt.,"Collagene colitis --- Oorzaak --- De oorzaak van collagene colitis is nog niet bekend. Er zijn aanwijzingen dat collagene colitis een auto-immuunziekte is. Collagene colitis komt regelmatig samen voor met andere auto-immuunziekten zoals reumatoïde artritis, sclerodermie, het syndroom van Sjögren of de ziekte van Hodgkin. Een auto- immuunziekte is een ziekte van het immuunsysteem waarbij het afweersysteem het eigen gezonde weefsel aanvalt. Ook wordt soms een verband gelegd tussen het optreden van collagene colitis en het gebruik van bepaalde ‘ontstekingsremmende pijnstillers’ zoals bijvoorbeeld aspirine."
451,Hoe verloopt een dragerschapsbehandeling?,De behandeling bestaat uit het wassen met desinfecterende zeep en het behandelen van de neusgaten met een speciale antibioticazalf gedurende minimaal 5 dagen. Soms zijn er twee verschillende antibiotica kuren nodig.,"MRSA --- Dragerschapsbehandeling en stoppen --- maatregelen In andere gevallen is het mogelijk dat u de bacterie spontaan kwijt raakt. Als u de bacterie niet spontaan kwijt raakt, is het in sommige gevallen mogelijk om een dragerschapsbehandeling te ondergaan. Dit kan via uw huisarts. De behandeling houdt in dat u zich met een desinfecterende zeep wast en uw neusgaten behandeld met een speciale antibioticazalf gedurende minimaal 5 dagen. Soms moeten er ook twee verschillende antibiotica kuren gebruikt worden. Hierna worden er kweken afgenomen om te kijken of de behandeling effect heeft gehad. Er zijn 3 negatieve kweeksets nodig, om te kunnen stoppen met de extra maatregelen. Wel moeten er nog kweken worden afgenomen tot men een jaar lang negatieve kweeksets heeft. Dit geldt ook als u geen behandeling heeft ondergaan. Welke voorzorgsmaatregelen worden genomen buiten het ziekenhuis?"
452,Is de hoeveelheid wondvocht afhankelijk van de locatie van het ulcus?,"Ja, de hoeveelheid wondvocht is mede afhankelijk van de locatie van het ulcus.","Ulcus, oncologische, verzorgen van --- Risico’s/ complicaties --- Wondvocht Het ulcus kan vocht produceren waardoor de omliggende huid kan verweken. De hoeveelheid vocht is mede afhankelijk van de locatie van het ulcus. Bij een infectie treedt er vaak meer wondvocht op. Een infectie dient behandeld te worden. Dit gaat in overleg met uw behandelend arts. De omliggende huid dient beschermd te worden tegen verweking door beschermende crèmes, extra absorberend verband en/of (tijdelijk) extra verbandwisselingen. Geur Om geur te voorkomen dient het ulcus goed gereinigd te worden. Indien er toch geur ontstaat dan dient de oorzaak aangepakt te worden; vaak zijn dit infecties en/of necrotisch weefsel. Bij een actieve infectie (roodheid, zwelling, pijn en warmte) kan er eventueel antibiotica voorgeschreven worden. Necrotisch weefsel kan verwijderd worden maar hier dient men terughoudend in te zijn om een bloeding te voorkomen. Pijn Pijnbestrijding dient afgestemd te zijn op de oorzaak van de pijn en gaat in overleg met uw behandelend arts. Het wondverband mag geen pijn veroorzaken. De frequentie van de verbandwisselingen dient afgestemd te zijn op uw pijnbeleving. Hoe lager de frequentie, hoe beter afgestemd. Neem eventueel minimaal een uur voor de wondverzorging pijnstilling in. Bloedingsneiging Turmorweefsel is goed doorbloed weefsel waardoor er snel een bloeding kan ontstaan. Een bloeding kan ontstaan door beschadiging van de kleine bloedvaatjes, grote bloedingen door ingroei van tumorweefsel in bloedvaten of door het verkleven/schuren van het wondverband aan de wond. Bloedingen kunnen behandeld worden door afdrukken, koude pakkingen, speciale wondverbanden en bepaalde medicatie. Eventuele antistolling medicatie dient in overleg met uw arts gestaakt te worden."
453,Wie voert de ingreep uit?,Uw oogarts zal de chalazion verwijderen.,Chalazion --- Chalazion --- Uw oogarts heeft u verwezen voor het laten verwijderen van een chalazion. In deze folder leest u meer over deze ingreep.
454,Wat zijn de bijwerkingen van atropine en hoe kunnen de klachten worden verlicht?,De bijwerkingen van atropine zijn ontspanning van de accommodatiespieren en pupilverwijding. Dit kan leiden tot leesklachten en lichtgevoeligheid. De klachten kunnen worden verlicht door de vertebril af te zetten voor nabijwerk en een zonnebril te dragen bij lichtgevoeligheid.,"Druppelen met Atropine (0,05%), bij kinderen vanaf 6 jaar met progressieve myopie --- Bijwerkingen atropine --- Atropine zorgt voor ontspanning van de accommodatiespieren (de spieren die ervoor zorgen dat het oog kan scherpstellen) en voor pupilverwijding. Dit kan leiden tot leesklachten en lichtgevoeligheid. De mate van klachten hangt sterk af van het percentage atropine waar mee gedruppeld wordt. Zo geeft atropine 0,05% weinig tot geen klachten. De klachten bij een hoger percentage zijn meestal op te lossen door de vertebril af te zetten voor nabijwerk en een zonnebril op te zetten bij lichtgevoeligheid. Wanneer deze maatregelen niet voldoende zijn, kan een leesbril of multifocale bril met meekleurende glazen een oplossing bieden. Uw kind kan bij de start van de behandeling wat last krijgen van hoofdpijn. Meestal verdwijnt dit in de eerste maand. Algemene lichamelijke bijwerkingen als rode ogen, koorts, huiduitslag, snelle hartslag, droge mond en gedragsstoornissen komen voor bij minder dan 1% van de behandelde kinderen. Wanneer één van deze bijwerkingen zich voordoet bij de start van de behandeling, moet de behandeling worden gestopt en adviseren wij u om contact met ons op te nemen."
